short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
L. Messi,33,170,72,Argentina,FC Barcelona,Spain Primera Division,93,93,67500000,560000,"RW, ST, CF",Left,5,4,4,Medium/Low,Messi,Yes,138400000.0,"Dribbler,DistanceShooter,FKSpecialist,Acrobat,ClinicalFinisher,CompleteForward",CAM,10.0,,2004-07-01,2021.0,RW,10.0,85.0,92.0,91.0,95.0,38.0,65.0,,,,,,,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, One Club Player, Team Player, Chip Shot (AI)",85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,,35,24,6,11,15,14,8,89+3,89+3,89+3,92+0,93+0,93+0,93+0,92+0,93+0,93+0,93+0,91+2,87+3,87+3,87+3,91+2,66+3,65+3,65+3,65+3,66+3,62+3,52+3,52+3,52+3,62+3
Cristiano Ronaldo,35,187,83,Portugal,Juventus,Italian Serie A,92,92,46000000,220000,"ST, LW",Right,5,4,5,High/Low,C. Ronaldo,Yes,75900000.0,"AerialThreat,Dribbler,DistanceShooter,Acrobat,ClinicalFinisher,CompleteForward",LS,7.0,,2018-07-10,2022.0,LS,7.0,89.0,93.0,81.0,89.0,35.0,77.0,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot",84,95,90,82,86,88,81,76,77,92,87,91,87,95,71,94,95,84,78,93,63,29,95,82,84,95,,32,24,7,11,15,14,11,91+1,91+1,91+1,89+0,91+0,91+0,91+0,89+0,88+3,88+3,88+3,88+3,81+3,81+3,81+3,88+3,65+3,61+3,61+3,61+3,65+3,61+3,54+3,54+3,54+3,61+3
R. Lewandowski,31,184,80,Poland,FC Bayern München,German 1. Bundesliga,91,91,80000000,240000,ST,Right,4,4,4,High/Medium,PLAYER_BODY_TYPE_276,Yes,132000000.0,"DistanceShooter,ClinicalFinisher",ST,9.0,,2014-07-01,2023.0,,,78.0,91.0,78.0,85.0,43.0,82.0,,,,,,,"Solid Player, Finesse Shot, Outside Foot Shot, Chip Shot (AI)",71,94,85,84,89,85,79,85,70,88,77,78,77,93,82,89,84,76,86,85,81,49,94,79,88,88,,42,19,15,6,12,8,10,89+2,89+2,89+2,85+0,87+0,87+0,87+0,85+0,85+3,85+3,85+3,83+3,79+3,79+3,79+3,83+3,64+3,65+3,65+3,65+3,64+3,61+3,60+3,60+3,60+3,61+3
Neymar Jr,28,175,68,Brazil,Paris Saint-Germain,French Ligue 1,91,91,90000000,270000,"LW, CAM",Right,5,5,5,High/Medium,Neymar,Yes,166500000.0,"Speedster,Dribbler,Playmaker,FKSpecialist,Acrobat,ClinicalFinisher,CompleteMidfielder,CompleteForward",LW,10.0,,2017-08-03,2022.0,,,91.0,85.0,86.0,94.0,36.0,59.0,,,,,,,"Injury Prone, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",85,87,62,87,87,95,88,89,81,95,94,89,96,91,83,80,62,81,50,84,51,36,87,90,92,93,,30,29,9,9,15,15,11,84+3,84+3,84+3,90+0,89+0,89+0,89+0,90+0,90+1,90+1,90+1,90+1,83+3,83+3,83+3,90+1,67+3,62+3,62+3,62+3,67+3,62+3,49+3,49+3,49+3,62+3
K. Mbappé,21,178,73,France,Paris Saint-Germain,French Ligue 1,90,95,105500000,160000,"ST, LW, RW",Right,3,4,5,High/Low,PLAYER_BODY_TYPE_343,Yes,203100000.0,"Speedster,Dribbler,Acrobat",LS,7.0,,2018-07-01,2022.0,RM,10.0,96.0,86.0,78.0,91.0,39.0,76.0,,,,,,,"Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",78,91,73,83,83,92,79,63,70,90,96,96,92,92,82,86,77,86,76,79,62,38,91,80,70,84,,34,32,13,5,7,11,6,88+3,88+3,88+3,89+0,89+0,89+0,89+0,89+0,87+3,87+3,87+3,87+3,79+3,79+3,79+3,87+3,67+3,63+3,63+3,63+3,67+3,63+3,55+3,55+3,55+3,63+3
S. Mané,28,175,69,Senegal,Liverpool,English Premier League,90,90,78000000,250000,LW,Right,3,4,4,High/Medium,PLAYER_BODY_TYPE_313,Yes,144300000.0,"Speedster,Dribbler,Acrobat",LW,10.0,,2016-07-01,2023.0,,,94.0,85.0,80.0,90.0,44.0,76.0,,,,,,,"Flair, Speed Dribbler (AI)",76,90,84,85,75,91,76,64,71,89,95,93,93,93,86,84,86,88,70,78,75,35,92,85,71,84,,42,38,10,10,15,7,14,88+2,88+2,88+2,89+0,89+0,89+0,89+0,89+0,88+2,88+2,88+2,88+2,81+3,81+3,81+3,88+2,69+3,65+3,65+3,65+3,69+3,66+3,59+3,59+3,59+3,66+3
M. Salah,28,175,71,Egypt,Liverpool,English Premier League,90,90,78000000,250000,RW,Left,3,3,4,High/Medium,Mohamed Salah,Yes,144300000.0,"Speedster,Dribbler,Acrobat,ClinicalFinisher,CompleteForward",RW,11.0,,2017-07-01,2023.0,RW,10.0,93.0,86.0,81.0,90.0,45.0,75.0,,,,,,,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",79,91,59,84,79,90,83,69,75,89,94,92,91,92,91,80,69,85,75,84,63,55,91,84,83,90,,43,41,14,14,9,11,14,85+3,85+3,85+3,88+0,88+0,88+0,88+0,88+0,88+2,88+2,88+2,87+3,82+3,82+3,82+3,87+3,71+3,68+3,68+3,68+3,71+3,67+3,58+3,58+3,58+3,67+3
S. Agüero,32,173,70,Argentina,Manchester City,English Premier League,89,89,53000000,300000,ST,Right,4,4,4,High/Medium,PLAYER_BODY_TYPE_322,Yes,98100000.0,"Dribbler,ClinicalFinisher,CompleteForward",SUB,10.0,,2011-07-28,2021.0,ST,9.0,78.0,90.0,77.0,88.0,33.0,73.0,,,,,,,"Injury Prone, Leadership, Chip Shot (AI)",70,94,78,83,86,88,83,73,64,89,79,78,84,92,91,89,78,78,74,84,65,24,94,83,75,91,,29,24,13,15,6,11,14,87+2,87+2,87+2,86+0,88+0,88+0,88+0,86+0,86+3,86+3,86+3,84+3,77+3,77+3,77+3,84+3,60+3,58+3,58+3,58+3,60+3,56+3,51+3,51+3,51+3,56+3
K. Benzema,32,185,81,France,Real Madrid,Spain Primera Division,89,89,53000000,350000,"CF, ST",Right,4,4,4,Medium/Low,Normal,Yes,108700000.0,Poacher,CF,9.0,,2009-07-09,2022.0,,,74.0,85.0,81.0,86.0,40.0,76.0,,,,,,,"Leadership, Finesse Shot, Playmaker (AI), Outside Foot Shot, Team Player",75,88,91,86,86,87,81,73,73,90,77,72,79,91,69,84,79,78,80,79,63,39,90,87,84,90,,24,18,13,11,5,5,7,86+3,86+3,86+3,85+0,87+0,87+0,87+0,85+0,86+3,86+3,86+3,84+3,80+3,80+3,80+3,84+3,63+3,63+3,63+3,63+3,63+3,59+3,55+3,55+3,55+3,59+3
R. Sterling,25,170,69,England,Manchester City,English Premier League,88,90,72500000,270000,"LW, RW",Right,3,3,4,High/Medium,PLAYER_BODY_TYPE_320,Yes,139600000.0,"Speedster,Dribbler,Acrobat",LW,7.0,,2015-07-14,2023.0,LW,7.0,93.0,81.0,79.0,90.0,45.0,67.0,,,,,,,"Flair, Speed Dribbler (AI)",78,85,46,84,67,90,77,63,69,88,96,90,94,90,94,78,57,79,65,79,59,30,92,82,69,80,,53,47,15,12,12,15,9,81+3,81+3,81+3,87+0,87+0,87+0,87+0,87+0,86+3,86+3,86+3,86+3,79+3,79+3,79+3,86+3,69+3,64+3,64+3,64+3,69+3,65+3,55+3,55+3,55+3,65+3
