,mean
age,24.739606126914662
height_cm,180.5656455142232
weight_kg,74.79102844638949
overall,72.39168490153173
potential,77.8851203501094
value_eur,8857696.93654267
wage_eur,37034.737417943106
international_reputation,1.412472647702407
weak_foot,3.2341356673960613
skill_moves,3.1444201312910285
release_clause_eur,17556695.553021666
team_jersey_number,22.451859956236323
contract_valid_until,2022.5612691466083
nation_jersey_number,12.914728682170542
pace,73.84135667396062
shooting,68.07221006564552
passing,63.927789934354486
dribbling,72.65317286652079
defending,40.34573304157549
physic,64.31619256017505
gk_diving,
gk_handling,
gk_kicking,
gk_reflexes,
gk_speed,
gk_positioning,
attacking_crossing,62.018599562363235
attacking_finishing,68.6159737417943
attacking_heading_accuracy,61.80962800875273
attacking_short_passing,68.56673960612692
attacking_volleys,62.764770240700216
skill_dribbling,72.91028446389497
skill_curve,63.64223194748359
skill_fk_accuracy,53.91794310722101
skill_long_passing,57.39606126914661
skill_ball_control,73.05908096280088
movement_acceleration,73.94310722100657
movement_sprint_speed,73.73851203501094
movement_agility,72.48468271334792
movement_reactions,69.62253829321664
movement_balance,70.43763676148797
power_shot_power,71.42122538293216
power_jumping,65.65426695842451
power_stamina,67.34245076586433
power_strength,65.39277899343544
power_long_shots,65.07002188183807
mentality_aggression,57.48468271334792
mentality_interceptions,36.71881838074398
mentality_positioning,70.65754923413567
mentality_vision,64.97483588621444
mentality_penalties,63.91794310722101
mentality_composure,68.12472647702407
defending_marking,
defending_standing_tackle,37.91684901531729
defending_sliding_tackle,34.61706783369803
goalkeeping_diving,10.359956236323852
goalkeeping_handling,10.394967177242888
goalkeeping_kicking,10.36214442013129
goalkeeping_positioning,10.225382932166301
goalkeeping_reflexes,10.49015317286652
