,age,height_cm,weight_kg,overall,potential,weak_foot,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
passing,0.339924713,-0.274386448,-0.171223469,0.711520934,0.438484894,0.287302116,0.593285382,0.294917454,0.654702533,1,0.834237749,0.17311927,0.164541731,0.830063624,0.543565769,0.029243937,0.903299221,0.589907072,0.784843499,0.801049039,0.751081402,0.850185024,0.848679113,0.316132823,0.261446525,0.525550695,0.653150831,0.400086259,0.653925652,-0.012234978,0.415997882,-0.041882475,0.710328561,0.246545385,0.200315635,0.669239983,0.879085849,0.497795194,0.707233607,,0.149285262,0.119554546,0.037025472,0.046449341,0.042425315,0.040688913,0.032688975
attacking_short_passing,0.147001695,-0.353814318,-0.272932397,0.502190633,0.351070721,0.32349505,0.705463165,0.152481943,0.51959343,0.903299221,0.709325945,0.300499308,0.291786815,0.804440444,0.676206269,0.667317935,1,0.701394129,0.85059939,0.775810652,0.731993056,0.890865892,0.91848288,0.579929811,0.569607915,0.625280626,0.506056436,0.547684467,0.571843691,0.218548002,0.734690362,0.171587567,0.764564374,0.641090029,0.561831162,0.770934871,0.698258871,0.686064076,0.734098323,,0.563672589,0.53137579,-0.734337093,-0.733044253,-0.729141744,-0.7288084,-0.734578203
mentality_vision,0.19881001,-0.363137501,-0.273707033,0.509087234,0.339285003,0.340749052,0.65271212,0.301942916,0.746976718,0.879085849,0.805310025,-0.071731692,0.047088188,0.67832564,0.70158417,0.268870221,0.698258871,0.693229758,0.722518232,0.746226559,0.712991575,0.697159584,0.70005424,0.467656469,0.433027148,0.603103269,0.519530907,0.500085069,0.676919121,0.051536267,0.479934328,-0.021613271,0.75711618,0.308664935,0.182350984,0.736978279,1,0.626693852,0.666858966,,0.151652924,0.117834467,-0.358161089,-0.354900355,-0.351501949,-0.350918133,-0.357450053
skill_long_passing,0.188677809,-0.318614792,-0.244426862,0.487147204,0.314737193,0.286127867,0.598345888,0.063556196,0.3629802,0.850185024,0.564809789,0.418973864,0.267122454,0.746817568,0.528298746,0.521030319,0.890865892,0.570244962,0.728736506,0.710588459,0.702531564,1,0.786947014,0.454590448,0.435937906,0.54104474,0.481508983,0.478040198,0.528185526,0.169185412,0.651949978,0.140708789,0.66944718,0.60666509,0.602473344,0.629869051,0.697159584,0.548512566,0.687183818,,0.597531534,0.573842666,-0.588077161,-0.587272374,-0.583755861,-0.583884459,-0.589305787
skill_ball_control,0.094225823,-0.410529209,-0.328242018,0.449372353,0.332585002,0.350551935,0.786677377,0.351131494,0.723556046,0.848679113,0.913356971,0.003489307,0.158127467,0.84164059,0.794504545,0.679326873,0.91848288,0.795333931,0.939610029,0.83039841,0.756591517,0.786947014,1,0.687280676,0.674485686,0.714734757,0.4519056,0.61624878,0.605494004,0.204596868,0.740472012,0.117368701,0.833385514,0.581537433,0.439497538,0.869869429,0.70005424,0.775623615,0.718977463,,0.446659008,0.413366338,-0.79656779,-0.795597518,-0.79141231,-0.791103736,-0.796706371
dribbling,0.183413933,-0.381983589,-0.277913608,0.64109665,0.478472142,0.319868677,0.693280252,0.541006249,0.769547079,0.834237749,1,-0.142759572,-0.005487542,0.747038838,0.711936394,-0.057397861,0.709325945,0.689660694,0.977610402,0.773094581,0.639649365,0.564809789,0.913356971,0.560915629,0.494919205,0.726538553,0.576159928,0.551589654,0.663759272,-0.019045011,0.347429941,-0.180703514,0.751464038,0.040468309,-0.112534377,0.804650221,0.805310025,0.580467202,0.621525384,,-0.161496433,-0.183461301,0.01506145,0.02447061,0.028407462,0.020774235,0.015535086
attacking_crossing,0.127914828,-0.487854077,-0.396088651,0.410530416,0.257515157,0.304718223,0.73126178,0.438550608,0.508112431,0.830063624,0.747038838,0.101320523,0.031579813,1,0.671432733,0.483909448,0.804440444,0.693095288,0.864583212,0.839114461,0.763699684,0.746817568,0.84164059,0.68570128,0.659336003,0.716827205,0.390349008,0.637127983,0.5275642,0.12584746,0.678116664,-0.015982789,0.746339611,0.48827873,0.435091529,0.79813427,0.67832564,0.654724889,0.615671396,,0.440420644,0.422085077,-0.667844027,-0.66633916,-0.665328036,-0.664850608,-0.668687395
skill_curve,0.141459061,-0.438663969,-0.34657133,0.420494548,0.27723172,0.347457426,0.767581506,0.360086905,0.721252624,0.801049039,0.773094581,-0.096458075,0.00349228,0.839114461,0.774795471,0.457809904,0.775810652,0.811670315,0.853163556,1,0.859966724,0.710588459,0.83039841,0.625319217,0.593295747,0.700562023,0.419032771,0.605514911,0.680135749,0.105470836,0.601862853,-0.01387705,0.840524205,0.422798245,0.283905647,0.826783774,0.746226559,0.757810006,0.663915144,,0.280305034,0.250883699,-0.611188493,-0.609575334,-0.606703277,-0.607558072,-0.610516543
skill_dribbling,0.027099425,-0.479082838,-0.39826153,0.378454674,0.308378691,0.355137051,0.812046763,0.525907581,0.762749014,0.784843499,0.977610402,-0.194104213,-0.039086756,0.864583212,0.832321419,0.577323174,0.85059939,0.815498745,1,0.853163556,0.760902552,0.728736506,0.939610029,0.754085365,0.730966341,0.77369879,0.383160863,0.671413697,0.61118656,0.142727362,0.697277653,0.002557678,0.850528926,0.480693236,0.321896152,0.907971143,0.722518232,0.780318869,0.657164817,,0.33466778,0.307048199,-0.76380213,-0.762413288,-0.758890351,-0.758817779,-0.763479097
skill_fk_accuracy,0.182621566,-0.40241089,-0.30970562,0.385616654,0.215330033,0.334041279,0.700108842,0.212753067,0.653160422,0.751081402,0.639649365,-0.037113198,0.018526232,0.763699684,0.711373536,0.413375386,0.731993056,0.751643082,0.760902552,0.859966724,1,0.702531564,0.756591517,0.517744343,0.482823684,0.613929039,0.394794321,0.539891664,0.653712738,0.073998569,0.545823155,-0.001343141,0.809030477,0.407413903,0.297411043,0.742954125,0.712991575,0.736170711,0.620539433,,0.289562421,0.257834991,-0.557005664,-0.55585677,-0.551076862,-0.553811332,-0.556042486
