,mean
age,26.70059880239521
height_cm,189.5568862275449
weight_kg,82.91017964071857
overall,71.17664670658682
potential,76.34131736526946
value_eur,5961856.28742515
wage_eur,23815.868263473054
international_reputation,1.3323353293413174
weak_foot,2.6766467065868262
skill_moves,1.0
release_clause_eur,11578295.731707318
team_jersey_number,22.218562874251496
contract_valid_until,2022.2395209580839
nation_jersey_number,9.18
pace,
shooting,
passing,
dribbling,
defending,
physic,
gk_diving,71.76946107784431
gk_handling,68.9940119760479
gk_kicking,66.74850299401197
gk_reflexes,73.08982035928143
gk_speed,40.75149700598802
gk_positioning,69.74850299401197
attacking_crossing,14.209580838323353
attacking_finishing,11.745508982035927
attacking_heading_accuracy,14.164670658682635
attacking_short_passing,29.90119760479042
attacking_volleys,12.377245508982035
skill_dribbling,14.233532934131736
skill_curve,14.673652694610778
skill_fk_accuracy,14.134730538922156
skill_long_passing,28.781437125748504
skill_ball_control,21.49700598802395
movement_acceleration,40.70059880239521
movement_sprint_speed,40.83532934131737
movement_agility,43.17664670658683
movement_reactions,65.87125748502994
movement_balance,42.52095808383233
power_shot_power,50.19760479041916
power_jumping,61.116766467065865
power_stamina,32.00898203592814
power_strength,62.52994011976048
power_long_shots,12.781437125748504
mentality_aggression,26.368263473053894
mentality_interceptions,17.089820359281436
mentality_positioning,10.835329341317365
mentality_vision,40.98802395209581
mentality_penalties,20.05688622754491
mentality_composure,48.51197604790419
defending_marking,
defending_standing_tackle,13.79940119760479
defending_sliding_tackle,13.667664670658683
goalkeeping_diving,71.76946107784431
goalkeeping_handling,68.9940119760479
goalkeeping_kicking,66.74850299401197
goalkeeping_positioning,69.74850299401197
goalkeeping_reflexes,73.08982035928143
