,mean
age,24.71556473829201
height_cm,179.78856749311294
weight_kg,73.43870523415978
overall,72.22176308539945
potential,77.8168044077135
value_eur,7929097.796143251
wage_eur,32788.67079889807
international_reputation,1.3650137741046833
weak_foot,3.1983471074380163
skill_moves,3.06198347107438
release_clause_eur,15694502.152080344
team_jersey_number,21.566804407713498
contract_valid_until,2022.4896694214876
nation_jersey_number,12.639024390243902
pace,69.71831955922865
shooting,62.6232782369146
passing,68.40013774104683
dribbling,72.34504132231405
defending,56.35192837465565
physic,65.09641873278237
attacking_crossing,64.76790633608816
attacking_finishing,60.15633608815427
attacking_heading_accuracy,57.13223140495868
attacking_short_passing,72.84917355371901
attacking_volleys,56.47176308539945
skill_dribbling,72.15220385674931
skill_curve,63.70730027548209
skill_fk_accuracy,57.247933884297524
skill_long_passing,67.74380165289256
skill_ball_control,73.45247933884298
movement_acceleration,70.49517906336088
movement_sprint_speed,69.07231404958678
movement_agility,71.67355371900827
movement_reactions,69.52892561983471
movement_balance,71.56955922865014
power_shot_power,69.02341597796143
power_jumping,63.47382920110193
power_stamina,70.21556473829202
power_strength,63.434573002754824
power_long_shots,63.47865013774105
mentality_aggression,63.167355371900825
mentality_interceptions,55.83402203856749
mentality_positioning,65.43388429752066
mentality_vision,68.57575757575758
mentality_penalties,58.269283746556475
mentality_composure,68.46763085399449
defending_marking,
defending_standing_tackle,57.46349862258953
defending_sliding_tackle,54.09022038567493
goalkeeping_diving,10.262396694214877
goalkeeping_handling,10.309917355371901
goalkeeping_kicking,10.347796143250688
goalkeeping_positioning,10.340909090909092
goalkeeping_reflexes,10.491046831955924
