short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
L. Messi,33,170,72,Argentina,FC Barcelona,Spain Primera Division,93,93,67500000,560000,"RW, ST, CF",Left,5,4,4,Medium/Low,Messi,Yes,138400000.0,"Dribbler,DistanceShooter,FKSpecialist,Acrobat,ClinicalFinisher,CompleteForward",CAM,10.0,,2004-07-01,2021.0,RW,10.0,85.0,92.0,91.0,95.0,38.0,65.0,"Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot, One Club Player, Team Player, Chip Shot (AI)",85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,86,68,72,69,94,44,40,93,95,75,96,,35,24,6,11,15,14,8,89+3,89+3,89+3,92+0,93+0,93+0,93+0,92+0,93+0,93+0,93+0,91+2,87+3,87+3,87+3,91+2,66+3,65+3,65+3,65+3,66+3,62+3,52+3,52+3,52+3,62+3
Neymar Jr,28,175,68,Brazil,Paris Saint-Germain,French Ligue 1,91,91,90000000,270000,"LW, CAM",Right,5,5,5,High/Medium,Neymar,Yes,166500000.0,"Speedster,Dribbler,Playmaker,FKSpecialist,Acrobat,ClinicalFinisher,CompleteMidfielder,CompleteForward",LW,10.0,,2017-08-03,2022.0,,,91.0,85.0,86.0,94.0,36.0,59.0,"Injury Prone, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",85,87,62,87,87,95,88,89,81,95,94,89,96,91,83,80,62,81,50,84,51,36,87,90,92,93,,30,29,9,9,15,15,11,84+3,84+3,84+3,90+0,89+0,89+0,89+0,90+0,90+1,90+1,90+1,90+1,83+3,83+3,83+3,90+1,67+3,62+3,62+3,62+3,67+3,62+3,49+3,49+3,49+3,62+3
K. De Bruyne,29,181,70,Belgium,Manchester City,English Premier League,91,91,87000000,370000,"CAM, CM",Right,4,5,4,High/High,PLAYER_BODY_TYPE_321,Yes,161000000.0,"Dribbler,Playmaker,Engine,DistanceShooter,Crosser,CompleteMidfielder",RCM,17.0,,2015-08-30,2023.0,RCM,7.0,76.0,86.0,93.0,88.0,64.0,78.0,"Injury Prone, Leadership, Early Crosser, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",94,82,55,94,82,88,85,83,93,92,77,76,78,91,76,91,63,89,74,91,76,66,88,94,84,91,,65,53,15,13,5,10,13,83+3,83+3,83+3,88+0,88+0,88+0,88+0,88+0,89+2,89+2,89+2,89+2,89+2,89+2,89+2,89+2,79+3,80+3,80+3,80+3,79+3,75+3,69+3,69+3,69+3,75+3
K. Mbappé,21,178,73,France,Paris Saint-Germain,French Ligue 1,90,95,105500000,160000,"ST, LW, RW",Right,3,4,5,High/Low,PLAYER_BODY_TYPE_343,Yes,203100000.0,"Speedster,Dribbler,Acrobat",LS,7.0,,2018-07-01,2022.0,RM,10.0,96.0,86.0,78.0,91.0,39.0,76.0,"Finesse Shot, Flair, Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",78,91,73,83,83,92,79,63,70,90,96,96,92,92,82,86,77,86,76,79,62,38,91,80,70,84,,34,32,13,5,7,11,6,88+3,88+3,88+3,89+0,89+0,89+0,89+0,89+0,87+3,87+3,87+3,87+3,79+3,79+3,79+3,87+3,67+3,63+3,63+3,63+3,67+3,63+3,55+3,55+3,55+3,63+3
Casemiro,28,185,84,Brazil,Real Madrid,Spain Primera Division,89,89,59500000,310000,CDM,Right,3,3,2,High/High,PLAYER_BODY_TYPE_358,Yes,122000000.0,"Engine,Tackling,Tactician,Strength,CompleteDefender",CDM,14.0,,2013-07-11,2023.0,,,65.0,73.0,76.0,72.0,86.0,91.0,"Power Free-Kick, Solid Player, Dives Into Tackles (AI), Long Shot Taker (AI), Team Player",58,64,80,84,63,69,63,74,84,79,60,69,61,87,66,88,87,90,91,81,91,87,72,80,66,84,,88,87,13,14,16,12,12,76+3,76+3,76+3,72+0,75+0,75+0,75+0,72+0,76+3,76+3,76+3,74+3,81+3,81+3,81+3,74+3,80+3,86+3,86+3,86+3,80+3,81+3,86+3,86+3,86+3,81+3
J. Kimmich,25,176,73,Germany,FC Bayern München,German 1. Bundesliga,88,90,65000000,145000,"CDM, RB",Right,3,4,3,High/Medium,Lean,Yes,112100000.0,Crosser,RDM,6.0,,2015-07-01,2023.0,RCM,6.0,71.0,72.0,86.0,84.0,81.0,79.0,Leadership,91,66,72,87,67,83,85,61,86,85,77,66,84,88,84,78,79,95,67,84,89,82,80,84,44,85,,84,79,8,15,7,15,15,77+3,77+3,77+3,81+0,80+0,80+0,80+0,81+0,82+3,82+3,82+3,83+3,85+3,85+3,85+3,83+3,84+3,85+3,85+3,85+3,84+3,83+3,80+3,80+3,80+3,83+3
P. Dybala,26,177,75,Argentina,Juventus,Italian Serie A,88,89,71000000,190000,"CF, CAM",Left,3,3,4,Medium/Medium,PLAYER_BODY_TYPE_342,Yes,122500000.0,"Dribbler,Playmaker,FKSpecialist,Acrobat,CompleteMidfielder",RS,10.0,,2015-07-01,2022.0,LW,21.0,85.0,85.0,84.0,92.0,43.0,63.0,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82,84,64,87,88,91,88,88,75,94,89,82,92,84,90,82,75,78,60,87,48,42,85,87,86,84,,48,40,5,4,4,5,8,83+3,83+3,83+3,87+0,87+0,87+0,87+0,87+0,88+1,88+1,88+1,86+3,82+3,82+3,82+3,86+3,68+3,64+3,64+3,64+3,68+3,64+3,54+3,54+3,54+3,64+3
T. Kroos,30,183,76,Germany,Real Madrid,Spain Primera Division,88,88,55000000,310000,CM,Right,4,5,3,Medium/Medium,Normal,Yes,112800000.0,"Playmaker,DistanceShooter,Crosser,CompleteMidfielder",LCM,8.0,,2014-07-17,2023.0,LCM,8.0,54.0,81.0,91.0,81.0,71.0,69.0,"Long Passer (AI), Long Shot Taker (AI), Playmaker (AI)",88,76,58,93,82,80,86,84,93,89,57,52,63,89,71,89,32,75,73,86,60,79,76,90,73,88,,73,60,10,11,13,7,10,77+3,77+3,77+3,80+0,81+0,81+0,81+0,80+0,83+3,83+3,83+3,81+3,86+2,86+2,86+2,81+3,77+3,81+3,81+3,81+3,77+3,74+3,71+3,71+3,71+3,74+3
N. Kanté,29,168,70,France,Chelsea,English Premier League,88,88,51000000,190000,"CDM, CM",Right,3,3,2,Medium/High,PLAYER_BODY_TYPE_283,Yes,96900000.0,"Tackling,Tactician",RDM,7.0,,2016-07-16,2023.0,LCM,13.0,77.0,66.0,76.0,81.0,86.0,82.0,,68,65,54,85,56,79,49,49,79,80,79,76,82,91,92,71,77,96,72,65,90,91,72,79,54,85,,90,85,15,12,10,7,10,72+3,72+3,72+3,77+0,77+0,77+0,77+0,77+0,79+3,79+3,79+3,79+3,82+3,82+3,82+3,79+3,85+3,86+2,86+2,86+2,85+3,84+3,83+3,83+3,83+3,84+3
J. Sancho,20,180,76,England,Borussia Dortmund,German 1. Bundesliga,87,93,69500000,82000,"RM, LM, CAM",Right,3,3,5,High/Medium,Normal,Yes,132100000.0,"Dribbler,Acrobat",RS,7.0,,2017-08-31,2023.0,RW,11.0,83.0,74.0,81.0,91.0,37.0,64.0,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",83,81,38,88,83,92,81,48,68,91,86,81,91,87,90,70,51,77,67,63,44,39,83,87,60,84,,41,32,7,11,10,11,13,77+3,77+3,77+3,86+0,84+0,84+0,84+0,86+0,86+3,86+3,86+3,85+3,79+3,79+3,79+3,85+3,66+3,62+3,62+3,62+3,66+3,61+3,49+3,49+3,49+3,61+3
